epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5151,1.2767,1.48832,0.94654,0.23295,0.95508,0.23274,0.17043,0.96292,6.55072,0.87851,0.00044,0.00044,0.00044
2,33.0763,0.97764,0.48621,0.87469,0.67459,0.87174,0.70902,0.51475,0.98545,3.85645,0.91565,0.00089109,0.00089109,0.00089109
3,48.6113,1.00456,0.48897,0.87759,0.53018,0.50546,0.37342,0.23906,1.23944,1.24985,0.95864,0.00133307,0.00133307,0.00133307
4,64.2893,1.03525,0.48105,0.88084,0,0,0,0,nan,nan,nan,0.00176595,0.00176595,0.00176595
5,80.346,1.00191,0.49081,0.87246,2e-05,0.00065,1e-05,1e-05,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,95.7073,0.90422,0.44366,0.8567,0.00426,0.12565,0.00242,0.00094,3.91193,inf,6.38138,0.001901,0.001901,0.001901
7,111.049,0.92016,0.44287,0.85835,0.31736,0.55208,0.23076,0.16524,1.12434,3.2932,0.95941,0.0018812,0.0018812,0.0018812
8,126.222,0.89566,0.42416,0.86299,0.83849,0.87826,0.93393,0.67493,0.99745,0.76129,0.89599,0.0018614,0.0018614,0.0018614
9,141.876,0.86313,0.41866,0.85455,0.98865,0.99479,0.99414,0.76351,0.8815,0.42039,0.87099,0.0018416,0.0018416,0.0018416
10,157.557,0.85675,0.4132,0.84735,0.99154,0.99211,0.99479,0.73277,1.03184,0.44955,0.89552,0.0018218,0.0018218,0.0018218
11,173.297,0.87335,0.40707,0.84851,0.98323,0.99222,0.99219,0.73857,0.94899,0.46401,0.88682,0.001802,0.001802,0.001802
12,188.745,0.86577,0.40513,0.85103,0.99215,0.99674,0.99462,0.77704,0.86703,0.3903,0.86038,0.0017822,0.0017822,0.0017822
13,204.335,0.86254,0.4004,0.84492,0.99042,0.99609,0.99491,0.7831,0.84788,0.37362,0.8597,0.0017624,0.0017624,0.0017624
14,219.77,0.84421,0.3983,0.84379,0.99392,0.99414,0.99442,0.80979,0.78962,0.36004,0.84987,0.0017426,0.0017426,0.0017426
15,235.17,0.82984,0.38674,0.84005,0.99349,0.99374,0.99479,0.81431,0.79276,0.35876,0.84799,0.0017228,0.0017228,0.0017228
16,250.609,0.83522,0.38599,0.84126,0.99588,0.99284,0.99476,0.80398,0.8127,0.37175,0.85843,0.001703,0.001703,0.001703
17,266.252,0.82048,0.37979,0.84183,0.99029,0.99602,0.9949,0.80491,0.80817,0.37194,0.85362,0.0016832,0.0016832,0.0016832
18,282.004,0.82469,0.38408,0.83659,0.99307,0.99544,0.99488,0.81605,0.78577,0.35578,0.84417,0.0016634,0.0016634,0.0016634
19,297.647,0.82392,0.37636,0.84097,0.99414,0.99376,0.99432,0.71556,1.09374,0.45011,0.91199,0.0016436,0.0016436,0.0016436
20,312.825,0.78528,0.36099,0.8365,0.9931,0.99414,0.99493,0.81124,0.79238,0.34868,0.84802,0.0016238,0.0016238,0.0016238
21,328.031,0.7894,0.36579,0.84154,0.97396,0.98568,0.99297,0.77145,0.90852,0.40721,0.87393,0.001604,0.001604,0.001604
22,343.51,0.80295,0.36896,0.83274,0.97929,0.98509,0.99426,0.79541,0.83416,0.36312,0.85615,0.0015842,0.0015842,0.0015842
23,358.888,0.78409,0.35917,0.83251,0.98947,0.97921,0.99309,0.78262,0.87411,0.40533,0.86012,0.0015644,0.0015644,0.0015644
24,374.16,0.78646,0.36684,0.83653,0.9927,0.99544,0.99471,0.82644,0.74365,0.35032,0.83809,0.0015446,0.0015446,0.0015446
25,389.539,0.76955,0.36437,0.83285,0.99222,0.99653,0.99457,0.79617,0.8428,0.37491,0.85519,0.0015248,0.0015248,0.0015248
