image,yolov8m_cbam_asff_finetuned.pt
AdltStnkBug_003_3500_jpg.rf.24ff33d77ead58c7e1b6d9d1ca4691d2.jpg,10
AdltStnkBug_003_4500_jpg.rf.5f87dbb22f549c29f663fba864123ea7.jpg,10
AdltStnkBug_006_5500_jpg.rf.c2c34bdc5e17b0ae98c863e92d87de97.jpg,7
AdltStnkBug_013_5500_jpg.rf.487e22e297360b95404e7973a3135d4f.jpg,7
AdltStnkBug_016_4500_jpg.rf.6b13e707920e40450e99e1ce3356f48f.jpg,10
AdltStnkBug_017_4500_jpg.rf.ac5083750101b88afb3daec8674ea8b1.jpg,8
AdltStnkBug_023_5500_jpg.rf.376fd666894e3bdc02fe0960f660f3ac.jpg,12
AdltStnkBug_025_3500_jpg.rf.2e3c013947c9e0d9ead4c0d0169c5131.jpg,9
AdltStnkBug_025_4500_jpg.rf.be2d59d8527170d43d975005dcd418b5.jpg,9
AdltStnkBug_026_3500_jpg.rf.6611312c08f93eddb81c932f88dd5faa.jpg,10
AdltStnkBug_028_4500_jpg.rf.f5b72be8d3d311bf2c2c46154fd089bb.jpg,10
AdltStnkBug_028_5500_jpg.rf.b6478ea1b06eb7552c0292f97ac61004.jpg,10
AdltStnkBug_031_4500_jpg.rf.a0765728745ad87f5e05793fbfece03f.jpg,11
AdltStnkBug_032_5500_jpg.rf.e830d92a82552fa5c88c0b74caeaa7bc.jpg,10
AdltStnkBug_033_5500_jpg.rf.eeb5eca3e76750292481cd2ea36a6dc9.jpg,11
AdltStnkBug_035_4500_jpg.rf.5d15782b44c69a4b6d2b004b22f95fad.jpg,11
AdltStnkBug_038_3500_jpg.rf.0350e4a5fe89bef8c4e171a7d5afeb0d.jpg,10
AdltStnkBug_041_3500_jpg.rf.df14327571c1d98fb985d828def7d386.jpg,10
AdltStnkBug_043_4500_jpg.rf.6d1a2bea86ed3ae322274a1cac2d0b4c.jpg,7
AdltStnkBug_044_5500_jpg.rf.7c74b656df9c18afa60756a27b5c6865.jpg,8
AdltStnkBug_046_5500_jpg.rf.10a41da5debf16a62d0b7715274b6e52.jpg,5
AdltStnkBug_047_4500_jpg.rf.06a0c1729eba940bc30c48ab98247542.jpg,6
AdltStnkBug_054_5500_jpg.rf.00d3a770d2d418f04bb3d3d26c1d1200.jpg,9
AdltStnkBug_057_3500_jpg.rf.aec3e39e4b4333583a29afe8cab6d65a.jpg,9
AdltStnkBug_057_4500_jpg.rf.a7054dd481c7cce9284b4c432b1c2d4d.jpg,9
AdltStnkBug_059_3500_jpg.rf.b4e034b0ed426039b61eeb3f70631144.jpg,9
